#================================================================================
#Title: The near-to-mid infrared spectrum of quasars
#Authors: Hernan-Caballero A., Hatziminaoglou E., Alonso-Herrero A., Mateos S.
#================================================================================
#Description of contents: Composite 0.1-11um quasar spectrum from a sample of 85
# luminous quasars with Spitzer/IRS observations. Columns include spectra for the 
# total AGN emission, the accretion disk (+ emission lines) and the dust.
#================================================================================
#Byte-by-byte Description of file: table3.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units Label     Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.4   um    Wave      Wavelength
#   9- 16 F8.5  ---   Fnu_tot    Total flux per unit frequency (arbitrary units)
#  18- 25 F8.5  ---   Fnu_disk   Flux per unit freq. (arb. units) disk component
#  27- 34 F8.5  ---   Fnu_dust   Flux per unit freq. (arb. units) dust component 
#================================================================================
 1.0465  0.17632  0.09768  0.07864
 1.0528  0.18569  0.10552  0.08017
 1.0591  0.18411  0.10238  0.08173
 1.0655  0.19521  0.11189  0.08332
 1.0720  0.20488  0.11994  0.08494
 1.0784  0.24923  0.16264  0.08659
 1.0850  0.30145  0.21318  0.08827
 1.0915  0.26225  0.17226  0.08999
 1.0981  0.22623  0.13448  0.09174
 1.1047  0.19823  0.10470  0.09353
 1.1114  0.19686  0.10151  0.09535
 1.1181  0.19601  0.09881  0.09720
 1.1249  0.20283  0.10373  0.09909
 1.1317  0.20876  0.10774  0.10102
 1.1385  0.19469  0.09171  0.10299
 1.1454  0.19193  0.08694  0.10499
 1.1523  0.18759  0.08056  0.10703
 1.1592  0.19120  0.08209  0.10911
 1.1662  0.19618  0.08494  0.11123
 1.1733  0.19937  0.08597  0.11340
 1.1804  0.20031  0.08471  0.11560
 1.1875  0.20218  0.08433  0.11785
 1.1947  0.20255  0.08240  0.12014
 1.2019  0.20762  0.08514  0.12248
 1.2091  0.21843  0.09357  0.12486
 1.2164  0.21815  0.09086  0.12729
 1.2238  0.22440  0.09463  0.12977
 1.2312  0.22681  0.09451  0.13229
 1.2386  0.22755  0.09269  0.13487
 1.2461  0.23459  0.09710  0.13749
 1.2536  0.24486  0.10470  0.14016
 1.2612  0.24654  0.10365  0.14289
 1.2688  0.25533  0.10966  0.14567
 1.2765  0.28763  0.13913  0.14850
 1.2842  0.30930  0.15791  0.15139
 1.2919  0.27525  0.12091  0.15433
 1.2997  0.26454  0.10721  0.15734
 1.3076  0.26671  0.10631  0.16040
 1.3155  0.26218  0.09866  0.16352
 1.3234  0.26996  0.10326  0.16670
 1.3314  0.26997  0.10003  0.16994
 1.3394  0.27100  0.09776  0.17325
 1.3475  0.27068  0.09406  0.17662
 1.3557  0.26798  0.08677  0.18122
 1.3638  0.27482  0.09108  0.18374
 1.3721  0.27541  0.08911  0.18630
 1.3804  0.28515  0.09625  0.18890
 1.3887  0.28392  0.09239  0.19154
 1.3971  0.28626  0.09206  0.19420
 1.4055  0.29602  0.09910  0.19691
 1.4140  0.28729  0.08764  0.19966
 1.4226  0.30151  0.09906  0.20244
 1.4311  0.29776  0.09250  0.20527
 1.4398  0.29562  0.08749  0.20813
 1.4485  0.29574  0.08472  0.21103
 1.4572  0.31264  0.09867  0.21397
 1.4660  0.29492  0.07797  0.21696
 1.4749  0.31338  0.09340  0.21998
 1.4838  0.31397  0.09092  0.22305
 1.4927  0.32486  0.09871  0.22615
 1.5018  0.31968  0.09037  0.22931
 1.5108  0.32699  0.09448  0.23251
 1.5200  0.32947  0.09372  0.23575
 1.5291  0.32768  0.08865  0.23904
 1.5384  0.32650  0.08413  0.24237
 1.5476  0.33587  0.09013  0.24575
 1.5570  0.33954  0.09037  0.24918
 1.5664  0.34007  0.08742  0.25265
 1.5759  0.35116  0.09499  0.25617
 1.5854  0.35105  0.09130  0.25974
 1.5949  0.35171  0.08835  0.26336
 1.6046  0.36139  0.09436  0.26704
 1.6143  0.36778  0.09703  0.27076
 1.6240  0.36321  0.08868  0.27453
 1.6338  0.38185  0.10349  0.27836
 1.6437  0.39007  0.10782  0.28224
 1.6536  0.40004  0.11386  0.28618
 1.6636  0.39669  0.10652  0.29017
 1.6736  0.40513  0.11092  0.29422
 1.6838  0.41823  0.11991  0.29832
 1.6939  0.42047  0.11800  0.30248
 1.7050  0.39370  0.08665  0.30705
 1.7150  0.39430  0.08309  0.31121
 1.7260  0.38770  0.07188  0.31582
 1.7360  0.40360  0.08356  0.32004
 1.7460  0.38610  0.06180  0.32430
 1.7570  0.40640  0.07738  0.32902
 1.7670  0.40050  0.06716  0.33334
 1.7780  0.40510  0.06697  0.33813
 1.7890  0.41360  0.07064  0.34296
 1.7990  0.42400  0.07661  0.34739
 1.8100  0.45150  0.09921  0.35229
 1.8210  0.44820  0.09096  0.35724
 1.8320  0.45360  0.09138  0.36222
 1.8430  0.47900  0.11176  0.36724
 1.8540  0.49030  0.11800  0.37230
 1.8650  0.54280  0.16540  0.37740
 1.8770  0.57680  0.19379  0.38301
 1.8880  0.53810  0.14991  0.38819
 1.8990  0.50470  0.11129  0.39341
 1.9110  0.50260  0.10344  0.39916
 1.9220  0.50900  0.10454  0.40446
 1.9340  0.50880  0.09851  0.41029
 1.9450  0.50270  0.08702  0.41568
 1.9570  0.50150  0.07990  0.42160
 1.9690  0.51770  0.09013  0.42757
 1.9810  0.51840  0.08481  0.43359
 1.9930  0.51260  0.07295  0.43965
 2.0040  0.49630  0.07921  0.41709
 2.0170  0.51780  0.07909  0.43871
 2.0290  0.53790  0.07894  0.45896
 2.0410  0.52470  0.07880  0.44590
 2.0530  0.53520  0.07865  0.45655
 2.0650  0.56620  0.07850  0.48770
 2.0780  0.56270  0.07835  0.48435
 2.0900  0.56050  0.07820  0.48230
 2.1030  0.55540  0.07805  0.47735
 2.1160  0.56600  0.07792  0.48808
 2.1280  0.57850  0.07781  0.50069
 2.1410  0.56950  0.07767  0.49183
 2.1540  0.60920  0.07752  0.53168
 2.1670  0.61480  0.07737  0.53743
 2.1800  0.60740  0.07722  0.53018
 2.1930  0.60460  0.07708  0.52752
 2.2060  0.60710  0.07693  0.53017
 2.2200  0.60210  0.07677  0.52533
 2.2330  0.63050  0.07663  0.55387
 2.2460  0.64350  0.07652  0.56698
 2.2600  0.63810  0.07640  0.56170
 2.2730  0.62750  0.07625  0.55125
 2.2870  0.64290  0.07610  0.56680
 2.3010  0.67610  0.07594  0.60016
 2.3150  0.68550  0.07579  0.60971
 2.3290  0.68330  0.07564  0.60766
 2.3430  0.69280  0.07552  0.61728
 2.3570  0.70330  0.07541  0.62789
 2.3710  0.70060  0.07527  0.62533
 2.3850  0.71230  0.07512  0.63718
 2.3990  0.71480  0.07498  0.63982
 2.4140  0.73730  0.07482  0.66248
 2.4280  0.73090  0.07472  0.65618
 2.4430  0.74260  0.07460  0.66800
 2.4580  0.74940  0.07444  0.67496
 2.4720  0.75430  0.07430  0.68000
 2.4870  0.76100  0.07415  0.68685
 2.5020  0.76370  0.07402  0.68968
 2.5170  0.76870  0.07390  0.69480
 2.5320  0.78320  0.07377  0.70943
 2.5480  0.78360  0.07362  0.70998
 2.5630  0.79180  0.07347  0.71833
 2.5780  0.79930  0.07333  0.72597
 2.5940  0.82630  0.07320  0.75310
 2.6090  0.84410  0.07309  0.77101
 2.6250  0.85640  0.07295  0.78345
 2.6410  0.84020  0.07280  0.76740
 2.6570  0.86160  0.07265  0.78895
 2.6730  0.86970  0.07251  0.79719
 2.6890  0.85240  0.07239  0.78001
 2.7050  0.85300  0.07227  0.78073
 2.7210  0.86300  0.07212  0.79088
 2.7380  0.88610  0.07198  0.81412
 2.7540  0.87880  0.07187  0.80693
 2.7710  0.89020  0.07174  0.81846
 2.7870  0.92020  0.07159  0.84861
 2.8040  0.91950  0.07144  0.84806
 2.8210  0.92720  0.07130  0.85590
 2.8380  0.93300  0.07117  0.86183
 2.8550  0.92790  0.07106  0.85684
 2.8720  0.94640  0.07092  0.87548
 2.8890  0.96510  0.07077  0.89433
 2.9070  0.95840  0.07066  0.88774
 2.9240  0.95680  0.07054  0.88626
 2.9420  0.95570  0.07039  0.88531
 2.9600  0.97160  0.07025  0.90135
 2.9770  0.99690  0.07014  0.92676
 2.9950  1.02100  0.07001  0.95099
 3.0130  1.02400  0.06986  0.95414
 3.0310  1.02400  0.06973  0.95427
 3.0500  1.02500  0.06959  0.95541
 3.0680  1.01100  0.06946  0.94154
 3.0860  1.02600  0.06933  0.95667
 3.1050  1.03800  0.06920  0.96880
 3.1240  1.05300  0.06906  0.98394
 3.1420  1.06900  0.06894  1.00006
 3.1610  1.08300  0.06880  1.01420
 3.1800  1.08500  0.06868  1.01632
 3.1990  1.09500  0.06855  1.02645
 3.2190  1.10100  0.06842  1.03258
 3.2380  1.10800  0.06829  1.03971
 3.2580  1.11300  0.06816  1.04484
 3.2770  1.13100  0.06804  1.06296
 3.2970  1.14400  0.06790  1.07610
 3.3170  1.14700  0.06777  1.07923
 3.3370  1.14900  0.06764  1.08136
 3.3570  1.15800  0.06751  1.09049
 3.3770  1.17500  0.06739  1.10761
 3.3970  1.17800  0.06726  1.11074
 3.4180  1.18100  0.06713  1.11387
 3.4380  1.19200  0.06701  1.12499
